time,side,price,shares,amount,commission,stamp_tax,cash_after,position_shares,asset,position_pct,reason,detail,execution_source,orderbook_fallback
2026-01-29 14:00:00,BUY,47.13,19000,895470.0,89.547,0.0,104440.453,19000,999910.453,0.89555,V5 cross-day add,cross_buy=0.53 target=90.0% timing=0.39 day_dev=-2.37% local_dev=-0.43% vel=-0.08% acc=-0.17% vol=0.9x exec=delayed_buy,price,False
2026-01-30 10:00:00,BUY,43.38,1500,65070.0,6.507,0.0,39363.946,20500,928653.946,0.957612,V5 local long entry,long_entry=0.91 day_dev=-2.31% local_dev=-2.08% vel=0.23% acc=1.80% vol=0.8x,price,False
2026-01-30 10:47:00,SELL,43.96,1500,65940.0,6.594,32.97,105264.382,19000,940504.382,0.888077,V5 local long profit exit,long_exit=1.00 day_dev=-0.34% local_dev=1.34% vel=0.62% acc=-0.52% vol=0.5x base=90.0% entry_ret=1.34% cycle=long,price,False
2026-01-30 11:28:00,SELL,46.35,10200,472770.0,47.277,236.385,577750.72,8800,985630.72,0.413826,V5 cross-day reduce,cross_sell=0.74 target=41.7% timing=0.78 day_dev=4.56% local_dev=2.06% vel=0.32% acc=-0.68% vol=0.6x,price,False
2026-02-02 10:45:00,SELL,45.87,300,13761.0,5.0,6.8805,591499.8395,8500,981394.8395,0.397287,V5 local trim,trim=0.87 day_dev=1.00% local_dev=2.01% vel=0.95% acc=-0.64% vol=0.9x,price,False
2026-02-02 11:29:00,BUY,45.4,100,4540.0,5.0,0.0,586954.8395,8600,977394.8395,0.39947,V5 floor refill,floor=1.00 day_dev=-0.26% local_dev=-1.36% vel=-0.39% acc=0.35% vol=0.7x,price,False
2026-02-02 14:49:00,BUY,44.56,100,4456.0,5.0,0.0,582493.8395,8700,970165.8395,0.399594,V5 floor refill,floor=1.00 day_dev=-2.02% local_dev=-1.00% vel=-1.15% acc=-1.02% vol=3.0x,price,False
2026-02-03 14:36:00,BUY,45.33,8700,394371.0,39.4371,0.0,188083.4024,17400,976825.4024,0.807454,V5 cross-day add,cross_buy=0.29 target=80.9% timing=0.34 day_dev=-0.63% local_dev=-0.03% vel=0.09% acc=0.48% vol=2.4x exec=delayed_buy,price,False
2026-02-04 10:02:00,BUY,41.39,1600,66224.0,6.6224,0.0,121852.78,19000,908262.78,0.86584,V5 local long entry,long_entry=0.93 day_dev=-2.54% local_dev=-2.14% vel=0.34% acc=2.03% vol=0.8x,price,False
2026-02-04 10:42:00,SELL,42.27,1600,67632.0,6.7632,33.816,189444.2008,17400,924942.2008,0.795183,V5 local long profit exit,long_exit=1.00 day_dev=-0.13% local_dev=0.77% vel=0.50% acc=0.24% vol=0.7x base=80.9% entry_ret=2.13% cycle=long,price,False
2026-02-05 10:02:00,BUY,42.12,1600,67392.0,6.7392,0.0,122045.4616,19000,922325.4616,0.867676,V5 local long entry,long_entry=0.91 day_dev=-1.99% local_dev=-2.24% vel=0.24% acc=1.69% vol=0.6x,price,False
2026-02-05 11:01:00,SELL,42.66,1600,68256.0,6.8256,34.128,190260.508,17400,932544.508,0.795977,V5 local long profit exit,long_exit=1.00 day_dev=0.00% local_dev=1.09% vel=0.90% acc=0.11% vol=1.0x base=80.9% entry_ret=1.28% cycle=long,price,False
2026-02-06 10:39:00,SELL,42.98,5500,236390.0,23.639,118.195,426508.674,11900,937970.674,0.545286,V5 cross-day reduce,cross_sell=0.40 target=54.7% timing=0.39 day_dev=2.67% local_dev=1.31% vel=0.94% acc=-0.08% vol=2.7x,price,False
2026-02-09 10:20:00,SELL,42.5,3200,136000.0,13.6,68.0,562427.074,8700,932177.074,0.396652,V5 local trim,trim=0.73 day_dev=0.96% local_dev=1.60% vel=-0.16% acc=-1.28% vol=1.2x,price,False
2026-02-10 09:37:00,BUY,42.19,100,4219.0,5.0,0.0,558203.074,8800,929475.074,0.399443,V5 floor refill,floor=1.00 day_dev=-2.50% local_dev=-2.50% vel=-1.47% acc=-1.47% vol=0.0x,price,False
2026-02-10 14:00:00,BUY,44.09,9700,427673.0,42.7673,0.0,130487.3067,18500,946152.3067,0.862086,V5 cross-day add,cross_buy=0.43 target=86.5% timing=0.27 day_dev=1.29% local_dev=-0.37% vel=0.09% acc=0.99% vol=0.9x exec=delayed_buy,price,False
2026-02-11 10:07:00,BUY,44.63,1300,58019.0,5.8019,0.0,72462.5048,19800,956136.5048,0.924213,V5 local long entry,long_entry=0.85 day_dev=-1.26% local_dev=-1.57% vel=0.97% acc=2.40% vol=0.8x,price,False
2026-02-11 10:47:00,SELL,43.69,1300,56797.0,5.6797,28.3985,129225.4266,18500,937490.4266,0.862158,V5 local long stop exit,long_exit=1.00 day_dev=-2.86% local_dev=-1.53% vel=-0.68% acc=-0.96% vol=0.8x base=86.5% entry_ret=-2.11% cycle=long,price,False
2026-02-12 10:00:00,SELL,47.18,3900,184002.0,18.4002,92.001,313117.0254,14600,1001945.0254,0.687491,V5 local trim,trim=0.94 day_dev=2.40% local_dev=2.22% vel=-0.40% acc=-1.34% vol=0.4x,price,False
2026-02-13 10:05:00,SELL,49.94,400,19976.0,5.0,9.988,333078.0374,14200,1042226.0374,0.680417,V5 local trim,trim=0.80 day_dev=1.78% local_dev=1.83% vel=0.34% acc=-0.59% vol=1.3x,price,False
2026-02-13 14:00:00,BUY,48.1,3400,163540.0,16.354,0.0,169521.6834,17600,1016081.6834,0.833161,V5 cross-day add,cross_buy=0.36 target=83.7% timing=0.54 day_dev=-2.14% local_dev=-0.92% vel=-0.31% acc=0.33% vol=1.0x exec=delayed_buy,price,False
2026-02-24 14:00:00,BUY,47.59,1500,71385.0,7.1385,0.0,98129.5449,19100,1007098.5449,0.902562,V5 cross-day add,cross_buy=0.54 target=90.6% timing=0.03 day_dev=-0.38% local_dev=-0.20% vel=-0.10% acc=-0.10% vol=0.9x exec=delayed_buy,price,False
2026-02-25 10:14:00,SELL,48.39,7800,377442.0,37.7442,188.721,475345.0797,11300,1022152.0797,0.534957,V5 cross-day reduce,cross_sell=0.42 target=53.9% timing=0.59 day_dev=1.90% local_dev=2.30% vel=0.35% acc=-2.64% vol=1.5x,price,False
2026-02-26 14:00:00,BUY,49.42,6900,340998.0,34.0998,0.0,134312.9799,18200,1033756.9799,0.870073,V5 cross-day add,cross_buy=0.45 target=87.3% timing=0.05 day_dev=0.41% local_dev=-0.29% vel=-0.82% acc=-0.92% vol=1.4x exec=delayed_buy,price,False
2026-02-27 10:33:00,SELL,50.47,9400,474418.0,47.4418,237.209,608446.3291,8800,1052582.3291,0.421949,V5 cross-day reduce,cross_sell=0.73 target=42.2% timing=0.69 day_dev=3.66% local_dev=1.94% vel=0.98% acc=-0.58% vol=1.4x,price,False
2026-03-02 10:01:00,SELL,57.07,1100,62777.0,6.2777,31.3885,671185.6629,7700,1110624.6629,0.395668,V5 local trim,trim=1.00 day_dev=3.91% local_dev=2.80% vel=1.03% acc=-0.74% vol=0.6x,price,False
2026-03-02 10:03:00,BUY,56.61,100,5661.0,5.0,0.0,665519.6629,7800,1107077.6629,0.39885,V5 floor refill,floor=1.00 day_dev=2.94% local_dev=1.59% vel=0.35% acc=-0.36% vol=0.7x,price,False
2026-03-02 11:22:00,BUY,55.64,100,5564.0,5.0,0.0,659950.6629,7900,1099506.6629,0.399776,V5 floor refill,floor=1.00 day_dev=0.51% local_dev=-1.07% vel=-0.30% acc=0.60% vol=1.8x,price,False
2026-03-03 09:52:00,BUY,54.45,100,5445.0,5.0,0.0,654500.6629,8000,1090100.6629,0.399596,V5 floor refill,floor=1.00 day_dev=-2.72% local_dev=-2.72% vel=-1.31% acc=-0.34% vol=0.0x,price,False
2026-03-03 13:57:00,BUY,53.37,100,5337.0,5.0,0.0,649158.6629,8100,1081455.6629,0.399736,V5 floor refill,floor=1.00 day_dev=-3.06% local_dev=-0.49% vel=-0.34% acc=0.24% vol=1.6x,price,False
2026-03-04 09:30:00,BUY,51.49,100,5149.0,5.0,0.0,644004.6629,8200,1066222.6629,0.395994,V5 floor refill,floor=1.00 day_dev=-0.61% local_dev=-0.61% vel=0.00% acc=0.00% vol=0.0x,price,False
2026-03-04 09:38:00,BUY,51.09,100,5109.0,5.0,0.0,638890.6629,8300,1062937.6629,0.398939,V5 floor refill,floor=1.00 day_dev=-1.11% local_dev=-1.11% vel=-1.94% acc=-1.94% vol=0.0x,price,False
2026-03-09 10:19:00,SELL,59.99,800,47992.0,5.0,23.996,686853.6669,7500,1136778.6669,0.395789,V5 local trim,trim=1.00 day_dev=6.04% local_dev=4.03% vel=-0.10% acc=-0.94% vol=0.8x,price,False
2026-03-09 10:20:00,BUY,59.54,100,5954.0,5.0,0.0,680894.6669,7600,1133398.6669,0.399245,V5 floor refill,floor=1.00 day_dev=5.21% local_dev=2.87% vel=-0.75% acc=-1.40% vol=0.8x,price,False
2026-03-09 10:31:00,BUY,58.3,100,5830.0,5.0,0.0,675059.6669,7700,1123969.6669,0.399397,V5 floor refill,floor=1.00 day_dev=2.79% local_dev=-1.45% vel=-0.87% acc=0.29% vol=0.5x,price,False
2026-03-10 09:53:00,BUY,57.18,100,5718.0,5.0,0.0,669336.6669,7800,1115340.6669,0.399881,V5 floor refill,floor=1.00 day_dev=-2.93% local_dev=-2.93% vel=-1.21% acc=-1.38% vol=0.0x,price,False
2026-03-10 10:21:00,SELL,59.92,300,17976.0,5.0,8.988,687298.6789,7500,1136698.6789,0.395355,V5 local trim,trim=0.89 day_dev=1.74% local_dev=2.08% vel=-0.30% acc=-2.28% vol=1.2x,price,False
2026-03-10 10:22:00,BUY,59.75,100,5975.0,5.0,0.0,681318.6789,7600,1135418.6789,0.399941,V5 floor refill,floor=1.00 day_dev=1.44% local_dev=1.65% vel=-0.55% acc=-1.69% vol=0.9x,price,False
2026-03-12 14:00:00,BUY,61.4,10400,638560.0,63.856,0.0,42694.8229,18000,1147894.8229,0.962806,V5 cross-day add,cross_buy=0.70 target=96.5% timing=0.43 day_dev=-3.74% local_dev=-0.39% vel=-0.47% acc=-0.63% vol=1.5x exec=delayed_buy,price,False
2026-03-13 10:09:00,SELL,59.04,2700,159408.0,15.9408,79.704,202007.1781,15300,1105319.1781,0.817241,V5 local trim,trim=0.72 day_dev=0.81% local_dev=2.02% vel=1.41% acc=-0.37% vol=0.5x,price,False
2026-03-13 14:30:00,BUY,58.16,1000,58160.0,5.816,0.0,143841.3621,16300,1091849.3621,0.868259,V5 cross-day add,cross_buy=0.45 target=87.1% timing=0.41 day_dev=-0.61% local_dev=0.25% vel=0.64% acc=1.04% vol=2.1x exec=delayed_buy,price,False
2026-03-16 13:16:00,SELL,58.41,5700,332937.0,33.2937,166.4685,476578.5999,10600,1095724.5999,0.565056,V5 cross-day reduce,cross_sell=0.34 target=57.0% timing=0.26 day_dev=2.11% local_dev=1.09% vel=0.90% acc=-0.13% vol=3.5x,price,False
2026-03-17 10:00:00,SELL,58.26,2500,145650.0,14.565,72.825,622141.2099,8100,1094047.2099,0.43134,V5 cross-day reduce,cross_sell=0.71 target=43.1% timing=0.71 day_dev=3.19% local_dev=3.27% vel=0.83% acc=-0.70% vol=1.1x,price,False
2026-03-18 10:17:00,SELL,55.95,500,27975.0,5.0,13.9875,650097.2224,7600,1075317.2224,0.395437,V5 local trim,trim=0.71 day_dev=0.69% local_dev=1.53% vel=-0.05% acc=-0.65% vol=0.5x,price,False
2026-03-18 10:25:00,BUY,55.6,100,5560.0,5.0,0.0,644532.2224,7700,1072652.2224,0.399123,V5 floor refill,floor=1.00 day_dev=0.03% local_dev=0.79% vel=-0.64% acc=-0.89% vol=0.4x,price,False
2026-03-23 09:30:00,BUY,53.0,200,10600.0,5.0,0.0,633927.2224,7900,1052627.2224,0.397767,V5 floor refill,floor=1.00 day_dev=0.41% local_dev=0.41% vel=0.00% acc=0.00% vol=0.0x,price,False
2026-03-23 09:31:00,BUY,52.0,100,5200.0,5.0,0.0,628722.2224,8000,1044722.2224,0.398192,V5 floor refill,floor=1.00 day_dev=-1.11% local_dev=-1.11% vel=0.00% acc=0.00% vol=0.0x,price,False
2026-03-23 09:35:00,BUY,51.08,100,5108.0,5.0,0.0,623609.2224,8100,1037357.2224,0.398848,V5 floor refill,floor=1.00 day_dev=-2.26% local_dev=-2.26% vel=-3.62% acc=-3.62% vol=0.0x,price,False
2026-03-23 13:28:00,BUY,50.22,100,5022.0,5.0,0.0,618582.2224,8200,1030386.2224,0.39966,V5 floor refill,floor=1.00 day_dev=-2.15% local_dev=-0.98% vel=-0.20% acc=0.24% vol=0.8x,price,False
2026-03-24 09:39:00,BUY,49.23,100,4923.0,5.0,0.0,613654.2224,8300,1022263.2224,0.39971,V5 floor refill,floor=1.00 day_dev=-1.25% local_dev=-1.25% vel=-0.95% acc=-0.95% vol=0.0x,price,False
2026-03-24 09:58:00,BUY,48.26,100,4826.0,5.0,0.0,608823.2224,8400,1014207.2224,0.399705,V5 floor refill,floor=1.00 day_dev=-1.73% local_dev=-1.73% vel=-0.90% acc=-0.76% vol=0.0x,price,False
2026-03-25 14:00:00,BUY,50.56,8900,449984.0,44.9984,0.0,158794.224,17300,1033482.224,0.84635,V5 cross-day add,cross_buy=0.39 target=85.0% timing=0.42 day_dev=-1.22% local_dev=-0.30% vel=0.50% acc=1.07% vol=0.8x exec=delayed_buy,price,False
2026-03-26 14:00:00,BUY,45.78,1200,54936.0,5.4936,0.0,103852.7304,18500,950782.7304,0.890771,V5 cross-day add,cross_buy=0.51 target=89.2% timing=0.38 day_dev=-2.36% local_dev=-0.06% vel=-0.15% acc=-0.13% vol=1.3x exec=delayed_buy,price,False
2026-03-27 13:27:00,SELL,45.47,6300,286461.0,28.6461,143.2305,390141.8538,12200,944875.8538,0.587097,V5 cross-day reduce,cross_sell=0.29 target=58.8% timing=0.39 day_dev=2.47% local_dev=0.76% vel=0.11% acc=-0.44% vol=0.8x,price,False
2026-03-30 10:06:00,BUY,47.36,1000,47360.0,5.0,0.0,342776.8538,13200,967928.8538,0.645866,V5 local long entry,long_entry=0.98 day_dev=-0.66% local_dev=-1.95% vel=0.64% acc=1.98% vol=0.4x,price,False
2026-03-30 11:09:00,SELL,48.09,1000,48090.0,5.0,24.045,390837.8088,12200,977535.8088,0.600181,V5 local long profit exit,long_exit=1.00 day_dev=0.94% local_dev=0.77% vel=0.82% acc=0.48% vol=1.9x base=58.8% entry_ret=1.54% cycle=long,price,False
